Step,beta0.1,beta0.5,beta5,iid,aug_beta0.1,aug_beta0.5,aug_beta5,aug_iid
0,0.20579999685287500,0.22630000114440900,0.47769999504089400,0.5031999945640560,0.11010000109672500,0.273499995470047,0.421999990940094,0.478300005197525
1,0.31380000710487400,0.45339998602867100,0.5443999767303470,0.5601999759674070,0.16019999980926500,0.459199994802475,0.5534999966621400,0.548799991607666
2,0.40560001134872400,0.5253000259399410,0.5529000163078310,0.5695000290870670,0.3395000100135800,0.5393999814987180,0.6014999747276310,0.5828999876976010
3,0.4383000135421750,0.516700029373169,0.566100001335144,0.571399986743927,0.39890000224113500,0.5889000296592710,0.6237000226974490,0.6061000227928160
4,0.4323999881744390,0.5303999781608580,0.5543000102043150,0.5735999941825870,0.4465000033378600,0.6139000058174130,0.6362000107765200,0.6123999953269960
5,0.4496999979019170,0.534600019454956,0.5685999989509580,0.5716999769210820,0.4481000006198880,0.6252999901771550,0.6503000259399410,0.6266999840736390
6,0.460099995136261,0.526199996471405,0.5701000094413760,0.5706999897956850,0.5002999901771550,0.6305000185966490,0.6617000102996830,0.6337000131607060
7,0.44769999384880100,0.5313000082969670,0.564300000667572,0.5737000107765200,0.5212000012397770,0.6520000100135800,0.66839998960495,0.6395999789237980
8,0.4481000006198880,0.5249999761581420,0.5712000131607060,0.5735999941825870,0.5425000190734860,0.6593999862670900,0.6725000143051150,0.6466000080108640
9,0.4499000012874600,0.5274999737739560,0.564300000667572,0.5766000151634220,0.5527999997138980,0.6539000272750850,0.676800012588501,0.6521999835968020
10,0.44920000433921800,0.5306000113487240,0.5741999745368960,0.5781000256538390,0.5625,0.6729999780654910,0.6758000254631040,0.6563000082969670
11,0.4498000144958500,0.5281000137329100,0.5745000243186950,0.5760999917984010,0.5710999965667730,0.6735000014305120,0.6811000108718870,0.6621000170707700
12,0.4535999894142150,0.5238000154495240,0.5730000138282780,0.5774000287055970,0.5764999985694890,0.6764000058174130,0.6873000264167790,0.6700000166893010
13,0.4438000023365020,0.524399995803833,0.5705000162124630,0.5777000188827520,0.5687000155448910,0.6784999966621400,0.682699978351593,0.6732000112533570
14,0.4595000147819520,0.522599995136261,0.5767999887466430,0.5763999819755550,0.5859000086784360,0.6779000163078310,0.6904000043869020,0.6772000193595890
15,0.45260000228881800,0.5223000049591060,0.5795999765396120,0.5794000029563900,0.5967000126838680,0.6830999851226810,0.6916000247001650,0.6809999942779540
16,0.4553999900817870,0.5227000117301940,0.5734000205993650,0.5755000114440920,0.5953999757766720,0.6771000027656560,0.6977999806404110,0.6873000264167790
17,0.45399999618530300,0.5231000185012820,0.5562999844551090,0.5770999789237980,0.5999000072479250,0.6863999962806700,0.698199987411499,0.6848999857902530
18,0.4523000121116640,0.5195000171661380,0.5741999745368960,0.5788999795913700,0.5946000218391420,0.6840000152587890,0.699400007724762,0.6873999834060670
19,0.45159998536109900,0.5252000093460080,0.5766000151634220,0.5774000287055970,0.6039999723434450,0.6837999820709230,0.7001000046730040,0.684499979019165
20,0.45669999718666100,0.5196999907493590,0.5752999782562260,0.5748000144958500,0.6040999889373780,0.6866999864578250,0.7057999968528750,0.6930000185966490
21,0.4530999958515170,0.5194000005722050,0.5712000131607060,0.5748999714851380,0.5982000231742860,0.6895999908447270,0.7024000287055970,0.6955999732017520
